key,group,total,Nationals,tour_division,pdga_number,scoring_group,name,'Rapa_Rumble,Auckland_Champs,Waitawa_Coastal_Cup,Te_Pohue_Breeze,Queenstown_Classic,Lords_and_Ladies_Lismore,Seafarer,Knottingley_Giants,Moonbase_SI_Champs,Brook_Park_Brave,Faultline_Fury,Sub_Zero,Tucker_Beach_Rush,Blood_Sacrifice,Taupo_Classic,Paradise_Plates,North_Island_Champs,Bottle_Lake,Xtreme,Makaripi,Waimate_Spring_Sling
100915_LoganGemmell_6,6,67.73770491803279,67.73770491803279,Intermediate - Mixed,100915.0,6,Logan Gemmell,,,,,,,,,,,,,,,,,,,,,
101162_BryceKennedy_4,4,139.74358974358975,54.07692307692308,Amateur Masters - Mixed,101162.0,4,Bryce Kennedy,17.333333333333332,25.5,41.833333333333336,1.0,,,,,,,,,,,,,,,,,
101627_ScottPulver_4,4,93.8183908045977,,Amateur Grand Masters - Mixed,101627.0,4,Scott Pulver,,,,,10.799999999999999,28.03448275862069,17.333333333333332,27.133333333333333,10.517241379310345,,,,,,,,,,,,
101628_SamuelHulbePulver_3,3,33.470588235294116,,Advanced - Mixed,101628.0,3,Samuel Hulbe Pulver,,,,,,,,,33.470588235294116,,,,,,,,,,,,
101649_AndyDavy_1,1,118.91452991452991,,Open - Mixed,101649.0,1,Andy Davy,44.55555555555556,,,,,,,,,38.69230769230769,35.666666666666664,,,,,,,,,,
102994_AdamRimes_1,1,11.5,,Open - Mixed,102994.0,1,Adam Rimes,,,,,,,,,,,,11.5,,,,,,,,,
102994_AdamRimes_3,3,84.64354066985646,,Advanced - Mixed,102994.0,3,Adam Rimes,,,,,41.090909090909086,,,,,,,,43.55263157894737,,,,,,,,
103025_CharkitSupapburus_4,4,36.38461538461539,24.884615384615383,Amateur Grand Masters - Mixed,103025.0,4,Charkit Supapburus,,11.5,,,,,,,,,,,,,,,,,,,
103691_RoddyMcKay_1,1,18.333333333333332,,Open - Mixed,103691.0,1,Roddy McKay,,,,,,,,,,,,,,18.333333333333332,,,,,,,
103691_RoddyMcKay_2,2,89.85858585858585,,Pro Masters - Mixed,103691.0,2,Roddy McKay,,,,,1.0,36.63636363636363,,,24.0,,,,28.22222222222222,,,,,,,,
103691_RoddyMcKay_4,4,50.0,,Amateur Masters - Mixed,103691.0,4,Roddy McKay,,,,,,,,,,,,50.0,,,,,,,,,
10397_JordanPrasad_5,5,5.3125,5.3125,Intermediate - Mixed,103970.0,5,Jordan Prasad,,,,,,,,,,,,,,,,,,,,,
104079_RogerAlborough_4,4,46.5,,Amateur Masters - Mixed,104079.0,4,Roger Alborough,,46.5,,,,,,,,,,,,,,,,,,,
104079_RogerAlborough_6,6,58.68852459016394,58.68852459016394,Intermediate - Mixed,104079.0,6,Roger Alborough,,,,,,,,,,,,,,,,,,,,,
104091_NathanBaker_4,4,14.26923076923077,14.26923076923077,Amateur Masters - Mixed,104091.0,4,Nathan Baker,,,,,,,,,,,,,,,,,,,,,
104142_TylerElliott_5,5,11.88888888888889,,Intermediate - Mixed,104142.0,5,Tyler Elliott,,11.88888888888889,,,,,,,,,,,,,,,,,,,
104142_TylerElliott_6,6,53.032786885245905,53.032786885245905,Intermediate - Mixed,104142.0,6,Tyler Elliott,,,,,,,,,,,,,,,,,,,,,
104252_SamCross_5,5,50.0,,Intermediate - Mixed,104252.0,5,Sam Cross,,50.0,,,,,,,,,,,,,,,,,,,
104564_MichaelYu_1,1,67.33333333333333,,Open - Mixed,104564.0,1,Michael Yu,,,,,49.99999999999999,,,,,,,,17.333333333333332,,,,,,,,
104564_MichaelYu_2,2,269.83333333333337,66.16666666666667,Pro Masters - Mixed,104564.0,2,Michael Yu,,,,,,,,,35.5,,,,,,33.666666666666664,50.0,70.0,50.0,,,
106386_TimBohan_1,1,29.307692307692307,29.307692307692307,Open - Mixed,106386.0,1,Tim Bohan,,,,,,,,,,,,,,,,,,,,,
106884_RyanSmale_5,5,4.0625,,Intermediate - Mixed,106884.0,5,Ryan Smale,,,4.0625,,,,,,,,,,,,,,,,,,
106884_RyanSmale_6,6,19.098360655737704,19.098360655737704,Intermediate - Mixed,106884.0,6,Ryan Smale,,,,,,,,,,,,,,,,,,,,,
1071_CalebFrisby_1,1,17.333333333333332,,Open - Mixed,107100.0,1,Caleb Frisby,,,,,,,,,,,,,,,,17.333333333333332,,,,,
108691_CallumO'Donnell_5,5,50.0,,Intermediate - Mixed,108691.0,5,Callum O'Donnell,,,50.0,,,,,,,,,,,,,,,,,,
10975_EdWaddington_2,2,38.19318181818181,,Pro Masters - Mixed,109750.0,2,Ed Waddington,,,,,,18.818181818181817,,,,,,,,,,19.375,,,,,
